text	local_time	like_count	user_screen_name	retweet_count	reply_count
Pendant 5 ans, Emmanuel Macron a soigneusement refusé d'« emmerder » les racailles, les gangs, les apprentis-djihadistes, les immigrés hors-la-loi, les antifas et les idéologues qui lavent les cerveaux de nos enfants. Lâche avec les forts, cruel avec les faibles.	2022-01-05T16:24:53	24369	ZemmourEric	7886	1030
Au rythme où Emmanuel Macron copie mon programme, il va peut-être bientôt proposer la fin de l'immigration ! https://twitter.com/ZemmourEric/status/1500916596499533826/photo/1	2022-03-07T19:29:36	12940	ZemmourEric	4509	915
"Emmanuel Macron aux journalistes français lors du sommet de Versailles : « Je suis pessimiste et inquiet ». 

Quelques minutes plus tard, à des journalistes étrangers : « je suis profondément optimiste »…

#MacronMenteur
https://twitter.com/i/status/1502433597734768642/video/1"	2022-03-12T08:27:51	8128	ZemmourEric	4174	782
"Pendant que je tentais de discuter avec les riverains excédés de la Colline du Crack, les trafiquants de drogue sénégalais criaient : « Vive Mélenchon ! »
#ZemmourCollineDuCrack #Remigration https://twitter.com/ZemmourEric/status/1507351984512417799/video/1"	2022-03-25T13:41:33	7327	ZemmourEric	3275	733
Alors que l’Égypte le déchoit de sa nationalité, le Président français choisit son camp en accueillant un ami des Frères musulmans. Moi, j’interdirai cette mouvance dangereuse dans notre pays. « EmmanuelMacron: Je salue la décision des autorités égyptiennes de remettre Ramy Shaath en liberté. Je partage le soulagement de son épouse Céline Le Brun, qu’il retrouve en France, avec qui nous n’avons rien lâché. Merci à tous ceux qui ont joué un rôle positif dans cette heureuse issue. — https://twitter.com/EmmanuelMacron/status/1479816001743200258 »	2022-01-09T11:29:07	5732	ZemmourEric	2030	220
"L’ensauvagement de la société, c’est Emmanuel Macron !

Le mépris des Gilets Jaunes, c’est lui !

Le grand déclassement, c’est lui !

Le grand remplacement, c’est lui ! https://twitter.com/ZemmourEric/status/1501570107134423041/video/1"	2022-03-09T14:46:26	5422	ZemmourEric	1934	447
Pour que sa présidence de l’UE soit au moins utile à quelque chose, je demande à Emmanuel Macron d’imposer le principe de non-admission des migrants dans l’Union européenne. L’espace Schengen ne doit plus être un obstacle pour nous protéger des vagues migratoires.	2021-12-08T16:21:23	6530	ZemmourEric	1748	342
"Vous voulez continuer dans la voie du grand remplacement ? Votez Macron. 

Vous voulez que la France reste la France ? Votez pour moi. « ObservatoireID: 🔍SPÉCIAL : BILAN MIGRATOIRE du quinquennat MACRON.

📊RECORD : 1 278 374 nouveaux 1ers titres de séjour attribués en 2017-2021 aux ressortissants non-européens. Source : @Interieur_Gouv.

▶️Détail complet sur notre site : https://observatoire-immigration.fr/immigration-2022/

📢Faites-le savoir : PARTAGEZ ! https://twitter.com/ObservatoireID/status/1504072094879043591/photo/1 — https://twitter.com/ObservatoireID/status/1504072094879043591 »"	2022-03-16T12:59:00	3695	ZemmourEric	1718	171
"Ce matin, je me suis rendu à la Colline du crack : un enfer à ciel ouvert. Macron a oublié les Français qui vivaient ce cauchemar. Je ne les abandonnerai pas.
#ZemmourCollineDuCrack #Remigration https://twitter.com/ZemmourEric/status/1507450193427451904/video/1"	2022-03-25T20:11:47	4187	ZemmourEric	1616	176
"Emmanuel Macron le dit et le répète : il est à la fois pro-immigration et anti-assimilation. Il veut toujours plus d'étrangers et qu'ils soient toujours moins français. Il est favorable à la double peine pour notre identité. « leparisien_pol: «Une chance formidable pour la France» : Macron critique Zemmour sans le nommer sur sa vision de l’immigration
➡️ https://l.leparisien.fr/6kkr https://twitter.com/leparisien_pol/status/1490662299367088137/photo/1 — https://twitter.com/leparisien_pol/status/1490662299367088137 »"	2022-02-07T18:15:21	4190	ZemmourEric	1569	201
