text	local_time	like_count	user_screen_name	retweet_count	reply_count
"La macronie en action. Policiers planqués, militaires embourbés, la morgue ridiculisée, les réfugiés secourant tous ces nuls. « LouisWitter: Il est près de 14H à Calais et le véhicule de vigipirate est toujours en mauvaise posture. 

Les sangles pour le dégager de la boue ont déjà cassé trois fois. 

Des exilés les aident à dégager le véhicule. Plus loin, les CRS regardent, sans venir filer un coup de main. https://twitter.com/LouisWitter/status/1472550498033094659/video/1 — https://twitter.com/LouisWitter/status/1472550498033094659 »"	2021-12-19T17:31:59	2656	JLMelenchon	835	638
Immigration : ce que propose M. Zemmour ne pourra jamais se mettre en place. La France est une grande puissance qui doit lutter contre les causes des départs. Mais une fois que les gens sont là, il faut les accueillir humainement et dignement. https://twitter.com/JLMelenchon/status/1495335206483644417/video/1	2022-02-20T09:51:09	1614	JLMelenchon	558	197
La France n'est pas d'extrême-droite. On nous rebat les oreilles de sécurité et d'immigration, mais le pays est majoritairement de gauche avec une volonté partageuse pour une simple et bonne raison : ça fait 2 siècles que c'est écrit : « Liberté, Égalité, Fraternité ». https://twitter.com/JLMelenchon/status/1470035117695549442/video/1	2021-12-12T14:17:38	1066	JLMelenchon	391	203
"“ Nous sommes avec les réfugiés d'Ukraine qui sont à présent plus d'un million. 
Nous sommes avec l'ensemble des Ukrainiens qui subissent l'horreur de la guerre et résistent. 
Nous sommes avec tous les Russes qui s'érigent contre Vladimir Poutine ”

@TrouveAurelie #MelenchonLyon https://twitter.com/JLMelenchon/status/1500476093656145920/video/1"	2022-03-06T14:19:12	965	JLMelenchon	376	428
Je veux rappeler un point important, la plupart des gens qui émigrent partent de chez eux dans la douleur. La France est une grande puissance qui doit lutter contre les causes du départ. Mais une fois que les gens sont là, il faut les accueillir humainement. #LaFranceDansLesYeux https://twitter.com/JLMelenchon/status/1494428907172421634/video/1	2022-02-17T21:49:51	1218	JLMelenchon	350	72
"Je prends l'engagement que si vous portez ma candidature et celle du programme L'avenir en commun au 2nd tour, tout aussitôt, je nous déclarerais disponible à accueillir tous ceux qui veulent gouverner avec nous sur la base de ce programme.

#MelenchonStrasbourg #UnionPopulaire https://twitter.com/JLMelenchon/status/1483917774749679631/video/1"	2022-01-19T21:42:22	945	JLMelenchon	322	79
"Ce pays n'est pas d'extrême-droite. On nous rebat les oreilles de sécurité et d'immigration, mais le pays est majoritairement de gauche avec une volonté partageuse pour une simple et bonne raison : ça fait 2 siècles que c'est écrit liberté, fraternité, égalité.
#QuestionsPol https://twitter.com/JLMelenchon/status/1470010317224779790/video/1"	2021-12-12T12:39:05	1000	JLMelenchon	303	170
"La droite veut supprimer l'Aide Médicale d'État pour les étrangers. Sauf que le microbe contamine tout le monde de la même manière. Cette absurdité est juste recopiée sur le catalogue de l'extrême droite qui répète cette bêtise en boucle depuis 20 ans.
#MelenchonMartinique https://twitter.com/JLMelenchon/status/1472318084837003265/video/1"	2021-12-18T21:29:20	705	JLMelenchon	286	89
"On a changé les tarifs d'inscription dans les universités en les rendant inaccessibles pour des milliers d'étudiants étrangers. C'est une absurdité totale.  
 
Avec mon programme, ils bénéficieront comme tout le monde de l'allocation d'autonomie de 1063€

#MelenchonSorbonne https://twitter.com/JLMelenchon/status/1493690622267568132/video/1"	2022-02-15T20:56:10	676	JLMelenchon	231	99
"Je pense que si nous sommes solidaires de l'Ukraine c'est le moment de le manifester : on doit prendre notre part de réfugiés, accueillir ces pauvres gens qui subissent un sort auquel ils ne s'attendaient pas. 
#8h30FranceInfo https://twitter.com/JLMelenchon/status/1497122246875402241/video/1"	2022-02-25T08:12:13	703	JLMelenchon	205	67
"Sur l’immigration, la première des choses c’est une politique qui s’occupe réellement de faire en sorte que les gens n’aient pas besoin de partir.

Mais une fois qu’ils sont là, je refuse de les maltraiter, il faut traiter les gens humainement.

#FaceABaba
#AvecMelenchon https://twitter.com/JLMelenchon/status/1486811589865054208/video/1"	2022-01-27T21:21:21	557	JLMelenchon	202	55
"Il faut donner les moyens d'accueillir à l'école, parmi leurs petits camarades, les enfants qui souffrent d'un handicap.

Pour cela, il faut des AESH, qui sont en pleine vague revendicative. Nous leur donnerons un vrai statut et une paie décente !

#LaFranceDansLesYeux https://twitter.com/JLMelenchon/status/1494439592891752449/video/1"	2022-02-17T22:32:18	588	JLMelenchon	188	31
"Merci pour votre accueil incroyable ! 

#MelenchonStrasbourg 

https://youtu.be/tV57HeCoZzs https://twitter.com/JLMelenchon/status/1483891874435932169/video/1"	2022-01-19T19:59:26	633	JLMelenchon	187	14
"@TrouveAurelie @AQuatennens @Clem_Autain @Francois_Ruffin @Deputee_Obono @alexiscorbiere @MathildePanot C'est à nous qu'on demande des comptes alors que ça fait 30 ans qu'ils votent sans arrêt des lois sur la sécurité et l'immigration, et pour quel résultat ? 

La diminution des libertés ! 

Nous voici arrivés au 34e rang pour la liberté de la presse ! 

#MarchePourLa6eRepublique https://twitter.com/JLMelenchon/status/1505567169362419713/photo/1"	2022-03-20T15:29:19	364	JLMelenchon	154	15
Avant le meeting du #Lamentin en #Martinique, passage par le marché de #RivièrePilote avec @MathildePanot et @mbompard pour saluer les commerçants et les habitants. Merci pour l'accueil ! https://twitter.com/JLMelenchon/status/1472234835162943489/photo/1	2021-12-18T15:58:32	401	JLMelenchon	147	57
"@TrouveAurelie @alirabeh C'est le droit qui est fondateur de la société, pas les devoirs. Comment certains en sont venus à avoir cette idée de fou qu'il faudrait ne pas accueillir à l'hôpital celles et ceux qui ne sont pas vaccinés ?   

#MelenchonNantes 

http://youtu.be/vdxHe12lUmI https://twitter.com/JLMelenchon/status/1482720579207806981/photo/1"	2022-01-16T14:25:08	275	JLMelenchon	135	9
"Il faut augmenter la capacité d'accueil des universités de médecine. Il ne suffit pas de supprimer le numerus clausus pour augmenter le nombre de médecins.  

#LaFranceDansLesYeux https://twitter.com/JLMelenchon/status/1494420154914160646/photo/1"	2022-02-17T21:15:04	300	JLMelenchon	131	9
"@CarolineFiat54 @GeoffroyRDB On est à 60 jours de l'élection. On parle de la sécurité et de l'immigration. Mais on a un mal de chien à faire émerger d'autres sujets. Je veux que la France rayonne par sa culture. Nous sommes à la pointe dans le domaine des jeux vidéo. 

#Elysee2022 #Melenchon2022 https://twitter.com/JLMelenchon/status/1491896596321251337/photo/1"	2022-02-10T22:07:21	359	JLMelenchon	129	21
"@ZemmourEric Les immigrés cotisent 3 milliards d'euros de plus qu'ils ne coûtent à la France. 

Donc arrêtez avec vos histoires @ZemmourEric !

Vous êtes là pour diviser le peuple, je suis là pour l'unifier ! 

#FaceABaba #AvecMelenchon https://twitter.com/JLMelenchon/status/1486809968569425928/photo/1"	2022-01-27T21:14:54	258	JLMelenchon	124	39
"@CarolineFiat54 @Action_Insoumis Il faut se donner les moyens d'accueillir à l'école les enfants en situation de handicap. Il faut donc commencer par donner un statut, une paye décente et une formation aux #AESH. Il faut sécuriser cette profession. 

#LaFranceDansLesYeux https://twitter.com/JLMelenchon/status/1494434048634150917/photo/1"	2022-02-17T22:10:17	257	JLMelenchon	119	16
"C'est une absurdité d'avoir augmenté les frais d'inscription des étudiants étrangers. Nous avons intérêt à avoir des étudiants francophones partout dans le monde.  

#MelenchonSorbonne

https://youtu.be/sT6qeNbmHB8 https://twitter.com/JLMelenchon/status/1493686678791364613/photo/1"	2022-02-15T20:40:30	318	JLMelenchon	117	6
Monsieur Zemmour, je vous demande, combien comptez-vous expulser de ce que vous appelez des immigrés et qui sont, pour 5 millions d'entre eux des Français ? Avec vous la haine des musulmans ne s'arrête jamais, c'est encore le cas ce soir. #FaceABaba #AvecMelenchon https://twitter.com/JLMelenchon/status/1486809905403154433/video/1	2022-01-27T21:14:39	356	JLMelenchon	111	32
"@Clemence_Guette @JulieMaury1 @ManonAubryFr @ericcoquerel @HToucel @BernardPignerol ""Nous voulons refonder la police. Recruter, former, améliorer l'accueil des victimes. Nous voulons aussi faire de la lutte contre les violences faites aux femmes une priorité."" @BernardPignerol

#MelenchonChiffrage 

http://youtu.be/a3T_FuHbLCQ https://twitter.com/JLMelenchon/status/1502698663688163328/photo/1"	2022-03-12T17:30:54	205	JLMelenchon	106	8
"@CarolineFiat54 La plupart des gens qui émigrent partent de chez eux dans la douleur. Pour moi, la France, qui est une grande puissance, doit lutter contre les causes du départ. Mais une fois que les gens sont là, il faut les accueillir dignement et humainement.  

#LaFranceDansLesYeux https://twitter.com/JLMelenchon/status/1494423963807662082/photo/1"	2022-02-17T21:30:12	238	JLMelenchon	102	15
