,text
1994,"Pendant 5 ans, Emmanuel Macron a soigneusement refusé d'« emmerder » les racailles, les gangs, les apprentis-djihadistes, les immigrés hors-la-loi, les antifas et les idéologues qui lavent les cerveaux de nos enfants. Lâche avec les forts, cruel avec les faibles."
1563,"Mes adversaires défendent les délinquants étrangers contre les Français innocents. Je défends les Français innocents contre les délinquants étrangers. Ni la justice, ni les politiciens, ni les médias : personne ne me fera taire."
147,"Je créerai le premier ministère de la remigration, chargé de l'expulsion des étrangers clandestins, délinquants et criminels étrangers et fichés S étrangers.
#Remigration"
145,"Comme Barack Obama, prix Nobel de la paix, qui a expulsé 2,5 millions d’étrangers des États-Unis, j’expulserai les clandestins, les criminels et délinquants étrangers pour protéger la France et les Français.
#Remigration"
413,"Au rythme où Emmanuel Macron copie mon programme, il va peut-être bientôt proposer la fin de l'immigration ! https://twitter.com/ZemmourEric/status/1500916596499533826/photo/1"
2092,"En Alsace, les Français m'accueillent comme un ami. À Barbès, les Algériens me huent comme un ennemi. Tout est dit. « Calam_media: #Paris, #Barbes : Eric #Zemmour se fait prendre à partie par la foule.

#TUNALG #Tunisie #Algerie #ArabCup2021 https://twitter.com/Calam_media/status/1472280541940572166/video/1 — https://twitter.com/Calam_media/status/1472280541940572166 »"
434,"Marion, tu es une Française libre, tu te bats pour une France libre, et je suis heureux de t’accueillir aujourd’hui à Toulon !
#ZemmourToulon https://twitter.com/ZemmourEric/status/1500529566611345413/photo/1"
315,"Ben voyons ! « Aurelientache: 🇺🇦 Rencontre à Cergy de réfugiés arrivés d’#Ukraine, après un long périple. La France doit pouvoir leur fournir des conditions d’accueil dignes et humaines. Je me suis engagé à les accompagner dans leur parcours administratif. #RefugeesWelcome https://twitter.com/Aurelientache/status/1502621185443520513/photo/1 — https://twitter.com/Aurelientache/status/1502621185443520513 »"
28,"Je félicite les forces de l’ordre pour le déplacement de ce matin et pour leur travail quotidien. Je serai le Président des policiers et des victimes. 
#ZemmourCollineDuCrack #Remigration"
344,"Emmanuel Macron aux journalistes français lors du sommet de Versailles : « Je suis pessimiste et inquiet ». 

Quelques minutes plus tard, à des journalistes étrangers : « je suis profondément optimiste »…

#MacronMenteur
https://twitter.com/i/status/1502433597734768642/video/1"
1703,"Je supprimerai les aides sociales aux délinquants et aux parents de délinquants lorsque ceux-ci sont mineurs, et j'expulserai les détenus étrangers qui sont en France.
#FaceABFM"
1351,Le lien entre l’immigration et la délinquance est statistiquement incontestable. La fin de l’immigration provoquera un effondrement historique de la délinquance en France. Je serai le Président de la paix retrouvée. https://twitter.com/ZemmourEric/status/1486288715727224833/photo/1
1010,"Je serai très ferme sur l’immigration. Je sanctionnerai les pays qui refusent de reprendre leurs clandestins.
#le79Inter #Elysee2022"
