text	local_time	like_count	user_screen_name	retweet_count	reply_count
Ce n'est pas seulement le peuple ukrainien qui est endeuillé par la guerre initiée par la Russie, ce sont tous les peuples d'Europe. Ce soir, nos pensées vont aussi vers la Grèce après la perte de dix de ses compatriotes qui vivaient en Ukraine près de Marioupol.	2022-02-26T23:17:40	31797	EmmanuelMacron	4068	2604
Ce soir, j'ai demandé au Président Loukachenko le retrait des troupes russes de son sol. La fraternité entre les peuples biélorusses et ukrainiens devrait conduire la Biélorussie à refuser d'être le vassal et le complice de fait de la Russie dans la guerre contre l'Ukraine.	2022-02-27T01:11:32	28221	EmmanuelMacron	3349	3629
Je veux saluer le courage et la détermination du peuple ukrainien. Sa liberté est la nôtre.	2022-02-24T14:05:29	26365	EmmanuelMacron	2708	1609
Je salue le courage du peuple ukrainien qui résiste sous le feu des armes. Au nom des Français, j’adresse au Président Zelensky le soutien fraternel de la France. Il est aujourd’hui le visage de l’honneur, de la liberté et de la bravoure.	2022-03-02T19:31:17	20791	EmmanuelMacron	2674	1621
Au peuple ukrainien, au Président Zelensky, ce soir, je redis notre soutien, notre attachement à la souveraineté et à l'intégrité territoriale de l’Ukraine. En matière économique et financière, en matière d'équipements défensifs, la France continuera d’apporter son soutien.	2022-02-23T23:28:21	20506	EmmanuelMacron	3203	1783
Dans ses livres, dans ses combats, Svetlana Alexievitch rassemble les mémoires des peuples russe, biélorusse et ukrainien. Ce matin, je lui ai dit mon admiration. En ces temps si sombres, l’humanisme européen est notre seule aspiration. Cet humanisme, portons-le haut et fort.	2022-03-05T13:19:30	12549	EmmanuelMacron	1728	3460
Ce vers quoi nous devons aller, c’est la désescalade. Nous en connaissons les termes. Grandes questions de sécurité collective, question ukrainienne, situation sécuritaire en Biélorussie et dans toute la région : avançons. https://twitter.com/EmmanuelMacron/status/1490733023700164620/video/1	2022-02-07T17:03:43	6601	EmmanuelMacron	1391	1721
Alors que les discussions entre délégations russe et ukrainienne commencent, j'ai demandé le respect de l'arrêt des frappes et attaques contre les civils et lieux de résidence, la préservation de toutes les infrastructures civiles, la sécurisation des axes routiers.	2022-02-28T15:30:51	6583	EmmanuelMacron	666	118
Des centaines de milliers de réfugiés ukrainiens fuient le pays. Ils sont et seront accueillis au sein de notre Union. La France prendra sa part. À nos villes, à nos villages, à nos associations qui se mobilisent : merci.	2022-03-02T19:57:29	5982	EmmanuelMacron	825	591
Dans le contexte que nous connaissons, le sang-froid dont fait preuve le peuple ukrainien force le respect. Aux côtés de l’Allemagne, la France est déterminée à mettre fin au conflit. https://twitter.com/EmmanuelMacron/status/1491062805235068929/photo/1	2022-02-08T14:54:10	3586	EmmanuelMacron	628	670
Bouleversement climatique, révolution numérique, inégalités, enjeux migratoires, tentatives de déstabilisation des démocraties : face aux crises, nombreux sont ceux qui voudraient ne s’en remettre qu’aux seules Nations. Je crois tout l’inverse, au besoin de nous unir. Européens. https://twitter.com/EmmanuelMacron/status/1469007412875210766/photo/1	2021-12-09T18:13:54	3303	EmmanuelMacron	773	413
Les Français ont massivement répondu présents pour aider et accueillir les réfugiés ukrainiens, par une aide humanitaire ou un hébergement. Le portail http://parrainage.refugies.info a déjà reçu près de 33 000 offres. Pour cet élan de solidarité : merci.	2022-03-15T13:49:27	2585	EmmanuelMacron	580	630
Nos frontières externes sont partagées, notre espace de libre-circulation commun est à préserver : c'est donc en Européens que nous devons bâtir une réponse aux défis d’asile et de migrations, avec efficacité et solidarité. https://twitter.com/EmmanuelMacron/status/1488979537358581766/video/1	2022-02-02T20:56:00	1425	EmmanuelMacron	373	709
À ce jour, plus de 15 000 réfugiés venus d’Ukraine sont arrivés en France. Ils bénéficient de la protection temporaire. Nous leur proposons un hébergement ainsi qu’un accompagnement social, administratif et sanitaire. https://twitter.com/EmmanuelMacron/status/1503730093029474306/photo/1	2022-03-15T13:49:26	1354	EmmanuelMacron	214	102
Les services de l’État, les préfets qui coordonnent l’accueil des réfugiés dans les territoires, les élus, les associations et les entreprises françaises, avec les citoyens, sont pleinement mobilisés. La Nation est solidaire avec le peuple ukrainien.	2022-03-15T13:49:27	1033	EmmanuelMacron	185	39
