text	local_time	like_count	user_screen_name	retweet_count	reply_count
Hier sur France 2 j'ai suggéré le passage au statut de neutralité de l'#Ukraine. Aujourd’hui, le Président ukrainien le propose. Une sortie du conflit par le haut existe donc.	2022-02-25T09:43:50	7647	JLMelenchon	2160	609
Je propose de pavoiser aux couleurs de l'#Ukraine tous les bâtiments officiels en solidarité avec le peuple ukrainien.	2022-02-25T08:59:57	4206	JLMelenchon	716	2409
L'#Ukraine ne doit pas être un prétexte pour une nouvelle course aux armements. Et surtout pas en Allemagne. « lemondefr: Guerre en Ukraine : l’Allemagne s’inquiète de l’état de faiblesse de son armée de terre https://www.lemonde.fr/international/article/2022/02/26/guerre-en-ukraine-l-allemagne-s-inquiete-de-l-etat-de-faiblesse-de-son-armee-de-terre_6115339_3210.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1645866569 — https://twitter.com/lemondefr/status/1497514216323837954 »	2022-02-26T17:15:54	3864	JLMelenchon	902	1188
"Pendant 10 ans j'ai alerté sur le danger à propos de l'#Ukraine, de l'#Otan et la #Russie. Où étaient les donneurs de leçon d'aujourd'hui ?

Inconscients hier, va-t-en guerre aujourd'hui : un même aveuglement.

https://desintoxmelenchon.fr/ukraine-melenchon-a-prevenu-pendant-10-ans/"	2022-03-02T15:54:18	3259	JLMelenchon	1331	401
"La macronie en action. Policiers planqués, militaires embourbés, la morgue ridiculisée, les réfugiés secourant tous ces nuls. « LouisWitter: Il est près de 14H à Calais et le véhicule de vigipirate est toujours en mauvaise posture. 

Les sangles pour le dégager de la boue ont déjà cassé trois fois. 

Des exilés les aident à dégager le véhicule. Plus loin, les CRS regardent, sans venir filer un coup de main. https://twitter.com/LouisWitter/status/1472550498033094659/video/1 — https://twitter.com/LouisWitter/status/1472550498033094659 »"	2021-12-19T17:31:59	2656	JLMelenchon	835	638
Crise ukrainienne, les USA recommencent les gesticulations de l'escalade. La France doit se tenir à distance.	2022-02-02T16:04:56	2312	JLMelenchon	583	229
🔴 Attaque de la #Russie en #Ukraine - Communiqué. https://melenchon.fr/2022/02/24/attaque-de-la-russie-en-ukraine-communique-de-jean-luc-melenchon/	2022-02-24T06:35:30	2113	JLMelenchon	934	373
"Communiqué sur la situation en #Ukraine. 

#Russie #Poutine #USA #OTAN 

https://melenchon.fr/2022/02/21/communique-de-jean-luc-melenchon-sur-la-situation-en-ukraine/"	2022-02-21T21:58:15	1770	JLMelenchon	764	235
Je dédie le rassemblement populaire de la place de la République à la résistance du peuple ukrainien contre l'invasion russe. Je le dédie aux Russes courageux qui résistent dans leur propre pays. - Nous étions plus de 100.000 hier à Paris. https://twitter.com/JLMelenchon/status/1505856474681122818/video/1	2022-03-21T10:38:55	1686	JLMelenchon	456	363
Immigration : ce que propose M. Zemmour ne pourra jamais se mettre en place. La France est une grande puissance qui doit lutter contre les causes des départs. Mais une fois que les gens sont là, il faut les accueillir humainement et dignement. https://twitter.com/JLMelenchon/status/1495335206483644417/video/1	2022-02-20T09:51:09	1614	JLMelenchon	558	197
Communiqué - #Ukraine #Nucléaire https://melenchon.fr/2022/03/04/ukraine-nucleaire-communique-de-jean-luc-melenchon/	2022-03-04T08:41:35	1380	JLMelenchon	669	255
Peu nombreux étaient ceux qui croyaient que #Poutine interviendrait sur l'#Ukraine même. Moi-même j'ai cru ce que disait le président ukrainien #Zelensky quand il a dit aux Américains qu'ils exagéraient et que le danger n'existait pas. #RéunionLa1ère https://twitter.com/JLMelenchon/status/1497235774231691273/video/1	2022-02-25T15:43:20	1310	JLMelenchon	422	287
Je veux rappeler un point important, la plupart des gens qui émigrent partent de chez eux dans la douleur. La France est une grande puissance qui doit lutter contre les causes du départ. Mais une fois que les gens sont là, il faut les accueillir humainement. #LaFranceDansLesYeux https://twitter.com/JLMelenchon/status/1494428907172421634/video/1	2022-02-17T21:49:51	1218	JLMelenchon	350	72
La France n'est pas d'extrême-droite. On nous rebat les oreilles de sécurité et d'immigration, mais le pays est majoritairement de gauche avec une volonté partageuse pour une simple et bonne raison : ça fait 2 siècles que c'est écrit : « Liberté, Égalité, Fraternité ». https://twitter.com/JLMelenchon/status/1470035117695549442/video/1	2021-12-12T14:17:38	1066	JLMelenchon	391	203
"Ce pays n'est pas d'extrême-droite. On nous rebat les oreilles de sécurité et d'immigration, mais le pays est majoritairement de gauche avec une volonté partageuse pour une simple et bonne raison : ça fait 2 siècles que c'est écrit liberté, fraternité, égalité.
#QuestionsPol https://twitter.com/JLMelenchon/status/1470010317224779790/video/1"	2021-12-12T12:39:05	1000	JLMelenchon	303	170
"“ Nous sommes avec les réfugiés d'Ukraine qui sont à présent plus d'un million. 
Nous sommes avec l'ensemble des Ukrainiens qui subissent l'horreur de la guerre et résistent. 
Nous sommes avec tous les Russes qui s'érigent contre Vladimir Poutine ”

@TrouveAurelie #MelenchonLyon https://twitter.com/JLMelenchon/status/1500476093656145920/video/1"	2022-03-06T14:19:12	965	JLMelenchon	376	428
"Je prends l'engagement que si vous portez ma candidature et celle du programme L'avenir en commun au 2nd tour, tout aussitôt, je nous déclarerais disponible à accueillir tous ceux qui veulent gouverner avec nous sur la base de ce programme.

#MelenchonStrasbourg #UnionPopulaire https://twitter.com/JLMelenchon/status/1483917774749679631/video/1"	2022-01-19T21:42:22	945	JLMelenchon	322	79
