text	local_time	like_count	user_screen_name	retweet_count	reply_count
Très honorée d’être accueillie ici à Madrid par @Jorgebuxade, président de la délégation espagnole @vox_es au Parlement européen. https://twitter.com/MLP_officiel/status/1487111778957938693/video/1	2022-01-28T17:14:11	5457	MLP_officiel	1572	267
Tout mon soutien à Inger Støjberg, ancienne ministre danoise, condamnée à deux mois de prison ferme pour avoir défendu des gamines mineures contraintes à des mariages précoces et forcés. Notre Europe perd la tête ! https://www.fdesouche.com/2021/12/13/danemark-inger-stojberg-ex-ministre-de-limmigration-comparait-devant-un-tribunal-pour-avoir-fait-illegalement-separer-des-couples-de-demandeurs-dasile-dont-les-epouses-etaient-m/	2021-12-13T20:10:00	3133	MLP_officiel	1244	126
"Les comportements de ces supporters de l'Algérie disent tout de l’échec de 50 années de laxisme migratoire.  

Il est temps que l’acquisition automatique de la nationalité soit supprimée. « ActuFoot_: Les supporters algériens célèbrent le sacre de l’Algérie à Paris. 🔥🇩🇿 #FIFArabCup 

🎥 @ClementLanot https://twitter.com/ClementLanot/status/1472264376799436806/video/1 — https://twitter.com/ActuFoot_/status/1472267888430129163 »"	2021-12-19T09:50:30	3404	MLP_officiel	1024	952
À Madrid, je suis venue rencontrer nos amis de @vox_es, qui accueillent en ce mois de janvier le sommet des leaders patriotes européens. Merci à @Jorgebuxade pour cet accueil chaleureux ! https://twitter.com/MLP_officiel/status/1487130734884278276/photo/1	2022-01-28T18:29:31	3293	MLP_officiel	826	72
"🇪🇸🇫🇷 Je remercie chaleureusement @Santi_ABASCAL pour son accueil à Madrid. 

L’Europe des nations que nous appelons de nos vœux se construit chaque jour avec les patriotes européens. #CumbreDeMadrid https://twitter.com/MLP_officiel/status/1487441892468011009/photo/1"	2022-01-29T15:05:57	3052	MLP_officiel	760	92
📹 Présidente de la République, je vous rendrai votre argent, en augmentant votre pouvoir d'achat et en sauvant notre système de protection sociale ; et je vous rendrai votre pays, en vous protégeant de l’immigration anarchique et massive et de l'insécurité. #FaceALaGuerreTF1 https://twitter.com/MLP_officiel/status/1503454240081129476/video/1	2022-03-14T19:33:18	2296	MLP_officiel	744	228
🇵🇱🇫🇷 Merci à @MorawieckiM, Premier ministre polonais pour son accueil à Varsovie. Ensemble, nous faisons le vœu d’une Europe des nations pour rendre aux peuples européens leur liberté et leur souveraineté. https://twitter.com/MLP_officiel/status/1466863559862898697/photo/1	2021-12-03T20:15:00	2714	MLP_officiel	718	531
"📹 La fermeté de la #Pologne a fonctionné ! Elle a dit aux #migrants : ""vous ne passerez pas"", et Loukachenko a dû les renvoyer de là où ils étaient venus. @LCI https://twitter.com/MLP_officiel/status/1466168271082774540/video/1"	2021-12-01T22:12:10	2181	MLP_officiel	632	105
📹 @EnricoLetta, vous avez fait de l'Union européenne un continent où la concurrence déloyale n'a jamais été aussi importante, un continent ouvert à tous les vents d'une immigration massive, anarchique ! #Elysée2022 https://twitter.com/MLP_officiel/status/1499493515746807810/video/1	2022-03-03T21:14:48	1542	MLP_officiel	579	143
Merci pour votre accueil, ici, à Pointe-à-Pitre, en Guadeloupe ! ❤️🇫🇷 https://twitter.com/MLP_officiel/status/1507795542230847491/video/1	2022-03-26T19:04:05	1756	MLP_officiel	563	155
