text	local_time	like_count	user_screen_name	retweet_count	reply_count
Pendant 5 ans, Emmanuel Macron a soigneusement refusé d'« emmerder » les racailles, les gangs, les apprentis-djihadistes, les immigrés hors-la-loi, les antifas et les idéologues qui lavent les cerveaux de nos enfants. Lâche avec les forts, cruel avec les faibles.	2022-01-05T16:24:53	24369	ZemmourEric	7886	1030
Mes adversaires défendent les délinquants étrangers contre les Français innocents. Je défends les Français innocents contre les délinquants étrangers. Ni la justice, ni les politiciens, ni les médias : personne ne me fera taire.	2022-01-17T18:57:58	13871	ZemmourEric	4263	843
"Je créerai le premier ministère de la remigration, chargé de l'expulsion des étrangers clandestins, délinquants et criminels étrangers et fichés S étrangers.
#Remigration"	2022-03-21T19:38:41	13741	ZemmourEric	4087	1177
"Comme Barack Obama, prix Nobel de la paix, qui a expulsé 2,5 millions d’étrangers des États-Unis, j’expulserai les clandestins, les criminels et délinquants étrangers pour protéger la France et les Français.
#Remigration"	2022-03-21T20:10:18	13587	ZemmourEric	4667	1069
Au rythme où Emmanuel Macron copie mon programme, il va peut-être bientôt proposer la fin de l'immigration ! https://twitter.com/ZemmourEric/status/1500916596499533826/photo/1	2022-03-07T19:29:36	12940	ZemmourEric	4509	915
"En Alsace, les Français m'accueillent comme un ami. À Barbès, les Algériens me huent comme un ennemi. Tout est dit. « Calam_media: #Paris, #Barbes : Eric #Zemmour se fait prendre à partie par la foule.

#TUNALG #Tunisie #Algerie #ArabCup2021 https://twitter.com/Calam_media/status/1472280541940572166/video/1 — https://twitter.com/Calam_media/status/1472280541940572166 »"	2021-12-18T20:04:47	10625	ZemmourEric	3504	1230
"Marion, tu es une Française libre, tu te bats pour une France libre, et je suis heureux de t’accueillir aujourd’hui à Toulon !
#ZemmourToulon https://twitter.com/ZemmourEric/status/1500529566611345413/photo/1"	2022-03-06T17:51:41	10022	ZemmourEric	2766	314
Ben voyons ! « Aurelientache: 🇺🇦 Rencontre à Cergy de réfugiés arrivés d’#Ukraine, après un long périple. La France doit pouvoir leur fournir des conditions d’accueil dignes et humaines. Je me suis engagé à les accompagner dans leur parcours administratif. #RefugeesWelcome https://twitter.com/Aurelientache/status/1502621185443520513/photo/1 — https://twitter.com/Aurelientache/status/1502621185443520513 »	2022-03-12T21:59:20	9479	ZemmourEric	2507	642
"Je félicite les forces de l’ordre pour le déplacement de ce matin et pour leur travail quotidien. Je serai le Président des policiers et des victimes. 
#ZemmourCollineDuCrack #Remigration"	2022-03-25T12:51:33	8343	ZemmourEric	2680	354
"Emmanuel Macron aux journalistes français lors du sommet de Versailles : « Je suis pessimiste et inquiet ». 

Quelques minutes plus tard, à des journalistes étrangers : « je suis profondément optimiste »…

#MacronMenteur
https://twitter.com/i/status/1502433597734768642/video/1"	2022-03-12T08:27:51	8128	ZemmourEric	4174	782
